Estado,Población,Contribución
Estado de México,17680769,13.61%
Ciudad de México,9324702,7.18%
Jalisco,8705996,6.7%
Veracruz,8095113,6.23%
Puebla,6584124,5.07%
Guanajuato,6334642,4.88%
Nuevo León,6131075,4.72%
Chiapas,5790972,4.46%
Michoacán,4947478,3.81%
Oaxaca,4294933,3.31%
Chihuahua,3851286,2.96%
Baja California,3784589,2.91%
Guerrero,3605206,2.77%
Tamaulipas,3557753,2.74%
Coahuila,3344327,2.57%
Hidalgo,3243264,2.5%
Sinaloa,3092064,2.38%
Sonora,3049163,2.35%
San Luis Potosí,2880652,2.22%
Querétaro,2533117,1.95%
Tabasco,2515652,1.94%
Yucatán,2362073,1.82%
Morelos,1982410,1.53%
Quintana Roo,1904970,1.47%
Durango,1891737,1.46%
Zacatecas,1661816,1.28%
Aguascalientes,1500835,1.16%
Tlaxcala,1475944,1.14%
Nayarit,1252660,0.96%
Campeche,947329,0.73%
Baja California Sur,876655,0.67%
Colima,736922,0.57%
Estados Unidos Mexicanos,129940228,100.00%
